"","Year","Variable","Val","Loc","N"
"83",2009,"GLORYS_HW_duration_max",52,"NYB",NA
"84",2010,"GLORYS_HW_duration_max",NA,"NYB",NA
"85",2011,"GLORYS_HW_duration_max",34,"NYB",NA
"86",2012,"GLORYS_HW_duration_max",185,"NYB",NA
"87",2013,"GLORYS_HW_duration_max",57,"NYB",NA
"88",2014,"GLORYS_HW_duration_max",166,"NYB",NA
"89",2015,"GLORYS_HW_duration_max",183,"NYB",NA
"90",2016,"GLORYS_HW_duration_max",87,"NYB",NA
"91",2017,"GLORYS_HW_duration_max",40,"NYB",NA
"92",2018,"GLORYS_HW_duration_max",NA,"NYB",NA
"93",2019,"GLORYS_HW_duration_max",115,"NYB",NA
"94",2020,"GLORYS_HW_duration_max",67,"NYB",NA
"95",2021,"GLORYS_HW_duration_max",319,"NYB",NA
"96",2022,"GLORYS_HW_duration_max",277,"NYB",NA
"97",2023,"GLORYS_HW_duration_max",66,"NYB",NA
"98",2024,"GLORYS_HW_duration_max",9,"NYB",NA
"99",2025,"GLORYS_HW_duration_max",NA,"NYB",NA
"100",1993,"GLORYS_HW_intensity_mean",NA,"NYB",NA
"101",1994,"GLORYS_HW_intensity_mean",NA,"NYB",NA
"102",1995,"GLORYS_HW_intensity_mean",1.12083333333333,"NYB",NA
"103",1996,"GLORYS_HW_intensity_mean",NA,"NYB",NA
"104",1997,"GLORYS_HW_intensity_mean",NA,"NYB",NA
"105",1998,"GLORYS_HW_intensity_mean",NA,"NYB",NA
"106",1999,"GLORYS_HW_intensity_mean",1.4851,"NYB",NA
"107",2000,"GLORYS_HW_intensity_mean",1.51846666666667,"NYB",NA
"108",2001,"GLORYS_HW_intensity_mean",1.119925,"NYB",NA
"109",2002,"GLORYS_HW_intensity_mean",1.45116,"NYB",NA
"110",2003,"GLORYS_HW_intensity_mean",NA,"NYB",NA
"111",2004,"GLORYS_HW_intensity_mean",NA,"NYB",NA
"112",2005,"GLORYS_HW_intensity_mean",1.3454,"NYB",NA
"113",2006,"GLORYS_HW_intensity_mean",1.40792,"NYB",NA
"114",2007,"GLORYS_HW_intensity_mean",1.7221,"NYB",NA
"115",2008,"GLORYS_HW_intensity_mean",NA,"NYB",NA
"116",2009,"GLORYS_HW_intensity_mean",1.44215,"NYB",NA
"117",2010,"GLORYS_HW_intensity_mean",NA,"NYB",NA
"118",2011,"GLORYS_HW_intensity_mean",1.3212,"NYB",NA
"119",2012,"GLORYS_HW_intensity_mean",2.403,"NYB",NA
"120",2013,"GLORYS_HW_intensity_mean",1.4178,"NYB",NA
"121",2014,"GLORYS_HW_intensity_mean",1.5921,"NYB",NA
"122",2015,"GLORYS_HW_intensity_mean",1.70695,"NYB",NA
"123",2016,"GLORYS_HW_intensity_mean",1.49242,"NYB",NA
"124",2017,"GLORYS_HW_intensity_mean",1.2837,"NYB",NA
"125",2018,"GLORYS_HW_intensity_mean",NA,"NYB",NA
"126",2019,"GLORYS_HW_intensity_mean",2.02595,"NYB",NA
"127",2020,"GLORYS_HW_intensity_mean",1.533825,"NYB",NA
"128",2021,"GLORYS_HW_intensity_mean",1.691,"NYB",NA
"129",2022,"GLORYS_HW_intensity_mean",1.47025,"NYB",NA
"130",2023,"GLORYS_HW_intensity_mean",1.641625,"NYB",NA
"131",2024,"GLORYS_HW_intensity_mean",1.0348,"NYB",NA
"132",2025,"GLORYS_HW_intensity_mean",NA,"NYB",NA
"133",1993,"GLORYS_HW_intensity_max",NA,"NYB",NA
"134",1994,"GLORYS_HW_intensity_max",NA,"NYB",NA
"135",1995,"GLORYS_HW_intensity_max",1.23926666666667,"NYB",NA
"136",1996,"GLORYS_HW_intensity_max",NA,"NYB",NA
"137",1997,"GLORYS_HW_intensity_max",NA,"NYB",NA
"138",1998,"GLORYS_HW_intensity_max",NA,"NYB",NA
"139",1999,"GLORYS_HW_intensity_max",1.7271,"NYB",NA
"140",2000,"GLORYS_HW_intensity_max",1.68743333333333,"NYB",NA
"141",2001,"GLORYS_HW_intensity_max",1.191175,"NYB",NA
