"","X","lon","lat","date","bot_depth","depth","depth_flag","temp","temp_flag","salt","salt_flag","pressure","profile_num","EPU","NYB","STRATA","surf_dens","c50_dens","depth50"
"18987",18987,-72.9316635131836,39.8383331298828,20190927,70,3.96937203407288,0,21.4899997711182,0,33.6459999084473,0,4,245,"MAB","NYB",1020,1023.34761695997,1025.74471462238,49.6116180419922
"19049",19049,-72.9833297729492,39.7416648864746,20190928,57,0.992358982563019,0,21.0799999237061,0,32.6209983825684,0,1,246,"MAB","NYB",1020,1022.66677141476,1025.6123744127,49.6120567321777
"19105",19105,-72.7933349609375,39.6699981689453,20190928,70,0.992365479469299,0,21.1900005340576,0,33.3320007324219,0,1,247,"MAB","NYB",1020,1023.17761881998,1025.80271556053,49.6123809814453
"19171",19171,-72.783332824707,39.5516662597656,20190928,70,3.96947550773621,0,21.3299999237061,0,34.1419982910156,0,4,248,"MAB","NYB",1020,1023.76849650016,1025.72773868917,49.6129112243652
"19235",19235,-73.0683364868164,39.5099983215332,20190928,67,2.97712516784668,0,20.8700008392334,0,32.7159996032715,0,3,249,"MAB","NYB",1020,1022.80409749617,1025.76724860106,49.6130981445312
"19294",19294,-73.3316650390625,39.6483345031738,20190928,41,2.97708749771118,0,21,0,31.9750003814697,0,3,250,"MAB","NYB",1010,1022.20592854914,1024.48909183335,35.7221946716309
"19328",19328,-73.1333312988281,39.4816665649414,20190928,47,0.992382347583771,0,20.9200000762939,0,32.2859992980957,0,1,251,"MAB","NYB",1010,1022.45499518283,1025.47973955265,40.6837310791016
"19369",19369,-72.9233322143555,38.8566665649414,20190928,265,2.97730088233948,0,22.1399993896484,0,35.2459983825684,0,3,252,"MAB","NYB",NA,1024.37843212496,1026.11505826126,49.616024017334
"19620",19620,-72.9366683959961,38.843334197998,20190928,219,3.96972966194153,0,22.2600002288818,0,35.2319984436035,0,4,253,"MAB","NYB",NA,1024.33827551905,1026.06655135388,49.6160888671875
"19831",19831,-72.8499984741211,39.0033340454102,20190928,122,0.992425322532654,0,21.8299999237061,0,34.3009986877441,0,1,254,"MAB","NYB",1760,1023.73847386529,1025.62475726549,49.6153717041016
