,,,,,,,
Year,NMFS Name,Pounds,Metric Tons,Dollars,Deflated Dollars,Confidentiality,Collection
1952,SUNFISHES **,"14,200",6,"1,115","10,229",Public,Commercial
1952,SWORDFISH,"1,000",0,500,"4,587",Public,Commercial
1952,TAUTOG,"2,700",1,282,"2,587",Public,Commercial
1952,"TILEFISH, GOLDEN","376,600",171,"38,015","348,761",Public,Commercial
1952,"TROUT, LAKE","1,600",1,748,"6,862",Public,Commercial
1952,"TUNA, BLUEFIN","1,200",1,175,"1,606",Public,Commercial
1952,"TUNA, LITTLE TUNNY","15,700",7,660,"6,055",Public,Commercial
1952,"VERTEBRATES, JAWED","923,400",419,"36,850","338,074",Public,Commercial
1952,WALLEYE,"629,900",286,"150,937","1,384,743",Public,Commercial
1952,WEAKFISH,"166,800",76,"22,726","208,495",Public,Commercial
1952,"WHITEFISH, LAKE","385,300",175,"159,114","1,459,761",Public,Commercial
1952,"WOLFFISH, ATLANTIC","1,600",1,92,844,Public,Commercial
1953,ALEWIFE,"57,200",26,"1,932","17,564",Public,Commercial
1953,"BASS, BLACK SEA","1,095,500",497,"122,836","1,116,691",Public,Commercial
1953,"BASS, ROCK","2,100",1,265,"2,409",Public,Commercial
1953,"BASS, STRIPED","481,700",218,"121,627","1,105,700",Public,Commercial
1953,"BASS, WHITE","27,200",12,"1,844","16,764",Public,Commercial
1953,BLUEFISH,"162,500",74,"35,988","327,164",Public,Commercial
1953,"BONITO, ATLANTIC","9,900",4,"1,846","16,782",Public,Commercial
1953,BOWFIN,"2,700",1,81,736,Public,Commercial
1953,BURBOT,"5,200",2,155,"1,409",Public,Commercial
1953,"CARP, COMMON","30,500",14,"1,759","15,991",Public,Commercial
1953,"CATFISHES, FORKTAIL **","31,400",14,"9,435","85,773",Public,Commercial
1953,"CATFISHES-BULLHEADS, OTHER **","42,100",19,"4,086","37,145",Public,Commercial
1953,CHUBS **,"17,400",8,"3,476","31,600",Public,Commercial
1953,"CLAM, SOFT","32,400",15,"20,845","189,500",Public,Commercial
1953,"CLAM, SURF, ATLANTIC","3,345,400","1,517","418,179","3,801,627",Public,Commercial
1953,"CLAMS, QUAHOG, MERCENARIA **","4,049,800","1,837","2,024,910","18,408,273",Public,Commercial
1953,"COD, ATLANTIC","727,600",330,"85,708","779,164",Public,Commercial
1953,"CONCHS, TRUE **","39,000",18,"9,750","88,636",Public,Commercial
1953,"CRAB, BLUE","75,300",34,"8,600","78,182",Public,Commercial
1953,CUNNER,200,0,8,73,Public,Commercial
1953,CUSK,400,0,25,227,Public,Commercial
1953,"DRUM, FRESHWATER","2,300",1,64,582,Public,Commercial
